Race,ResidentStatus,Sex,Age
American Indian (includes Aleuts and Eskimos),FOREIGN RESIDENTS,Female,71.33333333333333
American Indian (includes Aleuts and Eskimos),FOREIGN RESIDENTS,Male,71.0
American Indian (includes Aleuts and Eskimos),INTERSTATE NONRESIDENTS,Female,66.2394366197183
American Indian (includes Aleuts and Eskimos),INTERSTATE NONRESIDENTS,Male,64.64893617021276
American Indian (includes Aleuts and Eskimos),INTRASTATE NONRESIDENTS,Female,66.71717171717172
American Indian (includes Aleuts and Eskimos),INTRASTATE NONRESIDENTS,Male,62.74224343675418
American Indian (includes Aleuts and Eskimos),RESIDENTS,Female,68.1636675235647
American Indian (includes Aleuts and Eskimos),RESIDENTS,Male,64.06424792139077
Asian Indian,FOREIGN RESIDENTS,Female,74.58333333333333
Asian Indian,FOREIGN RESIDENTS,Male,64.23809523809524
Asian Indian,INTERSTATE NONRESIDENTS,Female,66.78947368421052
Asian Indian,INTERSTATE NONRESIDENTS,Male,57.74074074074074
Asian Indian,INTRASTATE NONRESIDENTS,Female,62.650485436893206
Asian Indian,INTRASTATE NONRESIDENTS,Male,63.30232558139535
Asian Indian,RESIDENTS,Female,71.43776824034335
Asian Indian,RESIDENTS,Male,67.27859237536657
Black,FOREIGN RESIDENTS,Female,54.57692307692308
Black,FOREIGN RESIDENTS,Male,80.69411764705882
Black,INTERSTATE NONRESIDENTS,Female,65.63134851138354
Black,INTERSTATE NONRESIDENTS,Male,60.80684596577017
Black,INTRASTATE NONRESIDENTS,Female,67.40238140238141
Black,INTRASTATE NONRESIDENTS,Male,63.45096291012839
Black,RESIDENTS,Female,70.86565416961892
Black,RESIDENTS,Male,65.77568563241915
Chinese,FOREIGN RESIDENTS,Female,64.7
Chinese,FOREIGN RESIDENTS,Male,60.61538461538461
Chinese,INTERSTATE NONRESIDENTS,Female,72.7
Chinese,INTERSTATE NONRESIDENTS,Male,70.0
Chinese,INTRASTATE NONRESIDENTS,Female,70.59649122807018
Chinese,INTRASTATE NONRESIDENTS,Male,67.60377358490567
Chinese,RESIDENTS,Female,81.04444444444445
Chinese,RESIDENTS,Male,74.54475703324808
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",FOREIGN RESIDENTS,Male,67.0
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",INTERSTATE NONRESIDENTS,Female,48.6
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",INTERSTATE NONRESIDENTS,Male,64.5
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",INTRASTATE NONRESIDENTS,Female,61.166666666666664
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",INTRASTATE NONRESIDENTS,Male,63.41025641025641
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",RESIDENTS,Female,72.96393897364771
"Combined other Asian or Pacific Islander, includes codes 18-68 for areas that do not report them separately",RESIDENTS,Male,66.48138957816377
Filipino,FOREIGN RESIDENTS,Female,74.0
Filipino,FOREIGN RESIDENTS,Male,60.0
Filipino,INTERSTATE NONRESIDENTS,Female,68.18181818181819
Filipino,INTERSTATE NONRESIDENTS,Male,61.708333333333336
Filipino,INTRASTATE NONRESIDENTS,Female,65.8695652173913
Filipino,INTRASTATE NONRESIDENTS,Male,66.70833333333333
Filipino,RESIDENTS,Female,74.64914054600607
Filipino,RESIDENTS,Male,72.0411877394636
Guamanian,FOREIGN RESIDENTS,Female,50.0
Guamanian,INTERSTATE NONRESIDENTS,Female,78.0
Guamanian,INTRASTATE NONRESIDENTS,Female,530.5
Guamanian,INTRASTATE NONRESIDENTS,Male,354.0
Guamanian,RESIDENTS,Female,64.875
Guamanian,RESIDENTS,Male,60.892857142857146
Hawaiian (includes Part-Hawaiian),INTERSTATE NONRESIDENTS,Female,63.333333333333336
Hawaiian (includes Part-Hawaiian),INTERSTATE NONRESIDENTS,Male,62.333333333333336
Hawaiian (includes Part-Hawaiian),INTRASTATE NONRESIDENTS,Female,80.0
Hawaiian (includes Part-Hawaiian),INTRASTATE NONRESIDENTS,Male,75.25
Hawaiian (includes Part-Hawaiian),RESIDENTS,Female,72.97222222222223
Hawaiian (includes Part-Hawaiian),RESIDENTS,Male,69.355421686747
Japanese,FOREIGN RESIDENTS,Female,76.25
Japanese,FOREIGN RESIDENTS,Male,61.8
Japanese,INTERSTATE NONRESIDENTS,Female,77.0
Japanese,INTERSTATE NONRESIDENTS,Male,69.6
